Rank,Feature,Mean_ABS_SHAP
1,sysBP,0.20092358616005765
2,diaBP,0.12204153541989614
3,age,0.03550239885794029
4,BMI,0.020538794727438924
5,BPMeds,0.012935856105839376
6,heartRate,0.007824789515259096
7,totChol,0.007331126331484478
8,glucose,0.00593655057699203
9,male,0.00541207508474699
10,cigsPerDay,0.0036982942341909266
11,currentSmoker,0.001062886105993745
12,diabetes,0.0005467355543935978
