Rank,Feature,Mean_ABS_SHAP
1,SkinThickness,0.13405274806051584
2,Glucose,0.11789206187572529
3,Age,0.05009250606597585
4,BMI,0.04994409386607758
5,Insulin,0.03975091906319176
6,DiabetesPedigreeFunction,0.032092974801368544
7,Pregnancies,0.02112827911763046
8,BloodPressure,0.013143982794984424
