Rank,Feature,Mean_ABS_SHAP
1,ap_hi,0.14580871666447418
2,age,0.057479203767089725
3,ap_lo,0.05195456597607274
4,cholesterol,0.04598346672089219
5,weight,0.021096736362781667
6,active,0.007321760389977741
7,gluc,0.0042946183522578505
8,height,0.0037070588021675243
9,gender,0.0032600216710179154
10,smoke,0.0032433771007144233
11,alco,0.0015241710911144206
