Metric,Gap
Accuracy,0.03245713129541894
Precision,0.016265341657111243
Recall,0.06973775818055239
F1,0.03909236650635095
Prediction_Rate,0.012477027095381843
False_Positive_Rate,0.016964031508019367
False_Negative_Rate,0.06973775818055233
