Metric,Gap
Accuracy,0.17873303167420806
Precision,0.18571428571428572
Recall,0.30434782608695654
F1,0.13333333333333341
Prediction_Rate,0.4555052790346908
False_Positive_Rate,0.29264214046822745
False_Negative_Rate,0.30434782608695654
