Metric,Gap
Accuracy,0.04151484977776787
Precision,0.004761904761904745
Recall,0.10398201669877971
F1,0.0476917949002833
Prediction Rate,0.2693041548226315
Actual Positive Rate,0.20015353207207104
False Positive Rate,0.1151048147793625
False Negative Rate,0.10398201669877968
