Metric,Gap
Accuracy,0.17873303167420806
Precision,0.18571428571428572
Recall,0.30434782608695654
F1,0.13333333333333341
Prediction Rate,0.4555052790346908
Actual Positive Rate,0.37481146304675717
False Positive Rate,0.29264214046822745
False Negative Rate,0.30434782608695654
