Noise,Accuracy Drop,Precision Drop,Recall Drop,F1 Drop,ROC-AUC Drop
0.01,0.0,0.0,0.0,0.0,0.001481481481481528
0.05,0.012987012987012991,0.014084507042253502,0.01851851851851849,0.016000000000000014,0.002962962962962945
0.1,0.00649350649350644,0.008998435054773157,0.0,0.005841269841269869,0.021759259259259256
