Noise,Accuracy,Precision,Recall,F1,ROC-AUC
0.01,0.7857142857142857,0.647887323943662,0.8518518518518519,0.736,0.8737962962962962
0.05,0.7727272727272727,0.6338028169014085,0.8333333333333334,0.72,0.8723148148148148
0.1,0.7792207792207793,0.6388888888888888,0.8518518518518519,0.7301587301587301,0.8535185185185185
